doc_ID,sentence_id,intervenant,date,context,detect_immigration,detect_démocratie,detect_progrès,detect_égalité,detect_nation,detect_autorité,detect_tradition,detect_prodem,detect_ecologie,detect_tech,detect_ue,detect_soc,detect_travail,immigration_1,immigration_2,immigration_3,immigration_4,démocratie_1,démocratie_2,démocratie_3,démocratie_4,démocratie_5,progrès_1,progrès_2,progrès_3,égalité_1,égalité_2,égalité_3,égalité_4,nation_1,nation_2,nation_3,nation_4,nation_5,nation_6,autorité_1,autorité_2,autorité_3,autorité_4,autorité_5,tradition_1,tradition_2,tradition_3,tradition_4,tradition_5,tradition_6,prodem_1,prodem_2,prodem_3,emotion,theme
1,0,Mauroy,1981-07-08,,non,non,non,non,non,non,non,non,non,non,non,non,non,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,neutre,"politique; plus specifiquement,"
1,1,Mauroy,1981-07-08,,non,non,non,non,oui,non,non,non,non,non,non,non,non,,,,,,,,,,,,,,,,,non,non,non,non,non,non,,,,,,,,,,,,,,,neutre,na (aucun theme dominant
1,2,Mauroy,1981-07-08,,non,oui,non,non,oui,non,non,oui,non,non,non,non,non,,,,,non,non,non,non,non,,,,,,,,non,non,non,non,non,non,,,,,,,,,,,,non,non,non,neutre,politique generale explication :
1,3,Mauroy,1981-07-08,,non,oui,non,non,oui,oui,non,oui,non,non,non,non,non,,,,,non,non,non,non,non,,,,,,,,non,non,non,non,non,non,oui,non,non,non,non,,,,,,,non,non,non,neutre,politique generale bien que
1,4,Mauroy,1981-07-08,,non,oui,oui,non,oui,oui,non,oui,non,non,non,non,non,,,,,non,non,non,non,non,non,non,non,,,,,non,non,non,non,non,non,oui,non,non,non,non,,,,,,,non,non,non,positif,"politique generale cependant,"
1,5,Mauroy,1981-07-08,,non,oui,non,non,oui,oui,non,oui,non,non,non,non,non,,,,,non,non,non,non,non,,,,,,,,non,non,non,non,non,non,oui,non,non,non,non,,,,,,,non,non,non,neutre,politique generale; na (aucun
1,6,Mauroy,1981-07-08,,non,oui,non,non,oui,oui,non,oui,non,non,non,non,non,,,,,non,non,non,non,non,,,,,,,,non,non,non,non,non,oui,oui,non,non,non,non,,,,,,,non,non,non,positif,politique generale bien que
1,7,Mauroy,1981-07-08,,non,oui,non,non,oui,oui,non,oui,non,non,non,non,non,,,,,non,non,non,non,non,,,,,,,,non,non,non,non,non,non,oui,non,non,non,non,,,,,,,non,non,non,neutre,"politique generale na, ce"
1,8,Mauroy,1981-07-08,,non,non,non,non,oui,oui,non,non,non,non,non,non,non,,,,,,,,,,,,,,,,,non,non,non,non,non,non,oui,non,non,non,non,,,,,,,,,,neutre,politique generale apres analy
1,9,Mauroy,1981-07-08,,non,oui,non,non,non,non,non,oui,non,non,non,non,non,,,,,non,non,non,non,non,,,,,,,,,,,,,,,,,,,,,,,,,non,non,non,neutre,na (aucun theme dominant
