"date","intervenant","Autorité","Démocratie","Nation","Prodem","Progrès","Soc","Tech","Tradition","Travail","Ue","Égalité","Immigration","Ecologie","far_right_score","indice_negatif","indice_positif","Mandat","Parti","pol","president_score","socre_ed_1_tour","presidential_year","MP_PP_number","PPM_score","MP_left","MP_center","MP_right","MP_E_D","leg_year","MP_total"
1959-01-15,"Debré",0.298029556650246,0.165024630541872,0.354679802955665,0.165024630541872,0.192118226600985,0.0344827586206897,0.00246305418719212,0.083743842364532,0.155172413793103,0.0147783251231527,0.0394088669950739,0,0,8.93321769297485,21.4285714285714,0.985221674876847,"1959-1962","UNR","droite",78.51,"NA",1958,206,35.58,57,0,493,0,1958,579
1962-04-26,"Pompidou",0.327586206896552,0.166666666666667,0.316091954022989,0.166666666666667,0.339080459770115,0.166666666666667,0.0172413793103448,0.0459770114942529,0.109195402298851,0.0574712643678161,0.0689655172413793,0,0,6.67957405614714,12.6436781609195,0.574712643678161,"1962-1968","UNR","droite",55.2,"NA",1958,233,48.34,111,4,367,0,1962,482
1968-07-17,"Murville",0.294478527607362,0.306748466257669,0.165644171779141,0.306748466257669,0.184049079754601,0.0736196319018405,0,0.0122699386503067,0.184049079754601,0.0306748466257669,0.00613496932515337,0,0,3.43007915567282,12.2699386503067,0.613496932515337,"1968-1969","UDR","droite",55.2,"5.2",1965,201,41.36,92,3,392,0,1967,486
1969-09-16,"Chaban-Delmas",0.215116279069767,0.136627906976744,0.0901162790697674,0.136627906976744,0.415697674418605,0.218023255813953,0.0348837209302326,0.0203488372093023,0.247093023255814,0.00872093023255814,0.0465116279069767,0.00290697674418605,0,2.63157894736842,17.7325581395349,2.90697674418605,"1969-1972","UDR","droite",58.21,"NA",1969,293,60.16,92,3,392,0,1968,487
1972-10-03,"Messmer",0.196923076923077,0.289230769230769,0.276923076923077,0.289230769230769,0.452307692307692,0.181538461538462,0.0369230769230769,0.0584615384615385,0.243076923076923,0.04,0.0830769230769231,0,0.00615384615384615,3.46211741093828,8.30769230769231,0,"1972-1974","UDR","droite",58.21,"0.75",1974,183,37.35,178,5,307,0,1973,490
1974-06-05,"Chirac",0.215568862275449,0.224550898203593,0.335329341317365,0.224550898203593,0.464071856287425,0.173652694610778,0.0239520958083832,0.0119760479041916,0.188622754491018,0.0688622754491018,0.119760479041916,0.00898203592814371,0.0239520958083832,3.1431334622824,12.2754491017964,5.68862275449102,"1974-1976","UDR","droite",50.81,"0.75",1974,154,31.43,178,5,307,0,1973,490
1976-10-05,"Barre",0.327217125382263,0.238532110091743,0.348623853211009,0.238532110091743,0.311926605504587,0.0948012232415902,0.0152905198776758,0.036697247706422,0.146788990825688,0.0397553516819572,0.0152905198776758,0.0091743119266055,0,6.68647845468054,15.2905198776758,0.611620795107034,"1976-1981","DVD","centre",50.81,"0.75",1974,154,31.36,201,124,289,0,1978,491
1981-07-08,"Mauroy",0.198915009041591,0.242314647377939,0.320072332730561,0.242314647377939,0.301989150090416,0.209764918625678,0.0216998191681736,0.027124773960217,0.244122965641953,0.0198915009041591,0.0723327305605787,0.0162748643761302,0.00361663652802893,3.71456500488759,12.2965641952984,5.78661844484629,"1981-1984","PS","gauche",51.76,"NA",1981,285,58.16,333,0,157,0,1981,490
1984-07-24,"Fabius",0.0830188679245283,0.328301886792453,0.29811320754717,0.328301886792453,0.460377358490566,0.120754716981132,0.0528301886792453,0.0113207547169811,0.211320754716981,0.0377358490566038,0.0377358490566038,0.0113207547169811,0,1.78694158075601,9.43396226415094,1.50943396226415,"1984-1986","PS","gauche",51.76,"NA",1981,285,58.16,333,0,157,0,1981,490
1986-04-09,"Chirac",0.232273838630807,0.21760391198044,0.459657701711491,0.21760391198044,0.207823960880196,0.12958435207824,0.0293398533007335,0.0855745721271394,0.198044009779951,0.0244498777506112,0.019559902200489,0.0244498777506112,0,8.85880077369439,13.6919315403423,6.60146699266504,"1986-1988","RPR","droite",51.76,"NA",1981,155,26.86,251,0,326,35,1986,577
