"intervenant","total_contexts","detect_autorité","detect_démocratie","detect_ecologie","detect_immigration","detect_nation","detect_prodem","detect_progrès","detect_soc","detect_tech","detect_tradition","detect_travail","detect_ue","detect_égalité","prop_detect_autorité","prop_detect_démocratie","prop_detect_ecologie","prop_detect_immigration","prop_detect_nation","prop_detect_prodem","prop_detect_progrès","prop_detect_soc","prop_detect_tech","prop_detect_tradition","prop_detect_travail","prop_detect_ue","prop_detect_égalité","autorité_1","autorité_2","autorité_3","autorité_4","autorité_5","démocratie_1","démocratie_2","démocratie_3","démocratie_4","démocratie_5","immigration_1","immigration_2","immigration_3","immigration_4","nation_1","nation_2","nation_3","nation_4","nation_5","prodem_1","prodem_2","prodem_3","progrès_1","progrès_2","progrès_3","tradition_1","tradition_2","tradition_3","tradition_4","tradition_5","égalité_1","égalité_2","égalité_3","égalité_4","prop_autorité_1","prop_autorité_2","prop_autorité_3","prop_autorité_4","prop_autorité_5","prop_démocratie_1","prop_démocratie_2","prop_démocratie_3","prop_démocratie_4","prop_démocratie_5","prop_immigration_1","prop_immigration_2","prop_immigration_3","prop_immigration_4","prop_nation_1","prop_nation_2","prop_nation_3","prop_nation_4","prop_nation_5","prop_prodem_1","prop_prodem_2","prop_prodem_3","prop_progrès_1","prop_progrès_2","prop_progrès_3","prop_tradition_1","prop_tradition_2","prop_tradition_3","prop_tradition_4","prop_tradition_5","prop_égalité_1","prop_égalité_2","prop_égalité_3","prop_égalité_4"
"Attal",802,120,93,31,17,270,93,197,158,19,62,172,19,41,0.149625935162095,0.115960099750623,0.0386533665835411,0.0211970074812968,0.336658354114713,0.115960099750623,0.245635910224439,0.197007481296758,0.0236907730673317,0.0773067331670823,0.214463840399002,0.0236907730673317,0.0511221945137157,8,15,44,23,0,0,0,0,3,0,1,8,2,0,0,1,0,0,20,7,5,0,0,0,0,62,8,9,0,3,0,0,0,0,0.00997506234413965,0.0187032418952618,0.0548628428927681,0.0286783042394015,0,0,0,0,0.00374064837905237,0,0.00124688279301746,0.00997506234413965,0.00249376558603491,0,0,0.00124688279301746,0,0,0.0249376558603491,0.00872817955112219,0.00623441396508728,0,0,0,0,0.0773067331670823,0.00997506234413965,0.0112219451371571,0,0.00374064837905237,0,0,0,0
"Ayrault",534,96,155,11,16,153,155,158,102,19,35,95,23,48,0.179775280898876,0.290262172284644,0.0205992509363296,0.0299625468164794,0.286516853932584,0.290262172284644,0.295880149812734,0.191011235955056,0.0355805243445693,0.0655430711610487,0.177902621722846,0.0430711610486891,0.0898876404494382,2,10,23,17,0,0,0,1,0,0,0,0,0,0,0,1,0,0,25,19,17,9,0,0,2,34,0,2,0,6,0,0,0,0,0.00374531835205993,0.0187265917602996,0.0430711610486891,0.0318352059925094,0,0,0,0.00187265917602996,0,0,0,0,0,0,0,0.00187265917602996,0,0,0.0468164794007491,0.0355805243445693,0.0318352059925094,0.0168539325842697,0,0,0.00374531835205993,0.0636704119850187,0,0.00374531835205993,0,0.0112359550561798,0,0,0,0
"Balladur",521,128,100,3,8,213,100,135,90,1,33,79,29,21,0.245681381957774,0.191938579654511,0.00575815738963532,0.0153550863723608,0.408829174664108,0.191938579654511,0.259117082533589,0.17274472168906,0.00191938579654511,0.0633397312859885,0.151631477927063,0.0556621880998081,0.0403071017274472,7,18,49,36,0,0,5,0,0,0,0,2,0,0,0,1,2,0,42,8,10,2,0,0,0,33,1,3,0,0,0,0,0,0,0.0134357005758157,0.0345489443378119,0.0940499040307102,0.0690978886756238,0,0,0.00959692898272553,0,0,0,0,0.00383877159309021,0,0,0,0.00191938579654511,0.00383877159309021,0,0.0806142034548944,0.0153550863723608,0.0191938579654511,0.00383877159309021,0,0,0,0.0633397312859885,0.00191938579654511,0.00575815738963532,0,0,0,0,0,0
"Barre",327,107,78,0,3,114,78,102,31,5,12,48,13,5,0.327217125382263,0.238532110091743,0,0.0091743119266055,0.348623853211009,0.238532110091743,0.311926605504587,0.0948012232415902,0.0152905198776758,0.036697247706422,0.146788990825688,0.0397553516819572,0.0152905198776758,9,4,35,23,0,0,0,3,0,0,0,0,0,0,0,2,1,0,23,7,5,1,0,0,0,12,2,0,0,0,0,0,0,0,0.0275229357798165,0.0122324159021407,0.107033639143731,0.0703363914373089,0,0,0,0.0091743119266055,0,0,0,0,0,0,0,0.00611620795107034,0.00305810397553517,0,0.0703363914373089,0.0214067278287462,0.0152905198776758,0.00305810397553517,0,0,0,0.036697247706422,0.00611620795107034,0,0,0,0,0,0,0
"Borne",747,79,93,46,13,225,93,229,152,54,28,156,16,104,0.105756358768407,0.124497991967871,0.0615796519410977,0.0174029451137885,0.301204819277108,0.124497991967871,0.306559571619813,0.203480589022758,0.072289156626506,0.037483266398929,0.208835341365462,0.0214190093708166,0.139223560910308,2,6,26,28,0,0,1,0,0,0,0,2,1,0,0,0,0,0,26,16,15,4,0,0,0,28,0,3,0,5,0,0,0,1,0.00267737617135207,0.00803212851405622,0.034805890227577,0.037483266398929,0,0,0.00133868808567604,0,0,0,0,0.00267737617135207,0.00133868808567604,0,0,0,0,0,0.034805890227577,0.0214190093708166,0.0200803212851406,0.00535475234270415,0,0,0,0.037483266398929,0,0.00401606425702811,0,0.00669344042838019,0,0,0,0.00133868808567604
"Bérégovoy",351,45,75,7,11,114,75,69,57,3,8,54,14,10,0.128205128205128,0.213675213675214,0.0199430199430199,0.0313390313390313,0.324786324786325,0.213675213675214,0.196581196581197,0.162393162393162,0.00854700854700855,0.0227920227920228,0.153846153846154,0.0398860398860399,0.0284900284900285,3,8,11,8,0,0,3,0,0,0,0,3,0,0,0,0,0,0,5,1,3,1,1,0,0,8,1,2,0,3,0,0,0,1,0.00854700854700855,0.0227920227920228,0.0313390313390313,0.0227920227920228,0,0,0.00854700854700855,0,0,0,0,0.00854700854700855,0,0,0,0,0,0,0.0142450142450142,0.00284900284900285,0.00854700854700855,0.00284900284900285,0.00284900284900285,0,0,0.0227920227920228,0.00284900284900285,0.0056980056980057,0,0.00854700854700855,0,0,0,0.00284900284900285
"Castex",307,69,75,21,0,107,75,113,87,13,11,76,6,17,0.224755700325733,0.244299674267101,0.0684039087947883,0,0.348534201954397,0.244299674267101,0.368078175895765,0.283387622149837,0.0423452768729642,0.0358306188925081,0.247557003257329,0.0195439739413681,0.0553745928338762,5,10,27,24,0,0,3,0,0,0,0,0,0,0,0,0,2,0,27,19,3,3,0,0,0,11,0,0,0,2,0,0,0,0,0.0162866449511401,0.0325732899022801,0.0879478827361563,0.0781758957654723,0,0,0.00977198697068404,0,0,0,0,0,0,0,0,0,0.00651465798045603,0,0.0879478827361563,0.0618892508143322,0.00977198697068404,0.00977198697068404,0,0,0,0.0358306188925081,0,0,0,0.00651465798045603,0,0,0,0
"Cazeneuve",272,60,66,17,11,138,66,149,87,29,16,62,19,30,0.220588235294118,0.242647058823529,0.0625,0.0404411764705882,0.507352941176471,0.242647058823529,0.547794117647059,0.319852941176471,0.106617647058824,0.0588235294117647,0.227941176470588,0.0698529411764706,0.110294117647059,5,4,31,30,0,0,0,0,0,0,0,0,0,0,0,1,0,0,37,0,4,0,0,0,0,16,0,0,0,3,0,0,0,0,0.0183823529411765,0.0147058823529412,0.113970588235294,0.110294117647059,0,0,0,0,0,0,0,0,0,0,0,0.00367647058823529,0,0,0.136029411764706,0,0.0147058823529412,0,0,0,0,0.0588235294117647,0,0,0,0.0110294117647059,0,0,0,0
"Chaban-Delmas",344,74,47,0,1,31,47,143,75,12,7,85,3,16,0.215116279069767,0.136627906976744,0,0.00290697674418605,0.0901162790697674,0.136627906976744,0.415697674418605,0.218023255813953,0.0348837209302326,0.0203488372093023,0.247093023255814,0.00872093023255814,0.0465116279069767,0,3,11,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,7,4,6,0,0,0,7,0,2,0,0,0,0,0,0,0,0.00872093023255814,0.0319767441860465,0.00581395348837209,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0116279069767442,0.0203488372093023,0.0116279069767442,0.0174418604651163,0,0,0,0.0203488372093023,0,0.00581395348837209,0,0,0,0,0,0
"Chirac",743,167,164,8,13,300,164,240,111,20,39,144,33,48,0.224764468371467,0.220726783310902,0.0107671601615074,0.0174966352624495,0.403768506056528,0.220726783310902,0.323014804845222,0.149394347240915,0.0269179004037685,0.0524899057873486,0.193808882907133,0.044414535666218,0.0646029609690444,9,26,53,32,1,0,5,1,0,0,2,7,3,0,0,2,0,0,39,12,10,9,0,0,0,38,10,6,2,0,0,0,0,0,0.0121130551816958,0.0349932705248991,0.0713324360699865,0.0430686406460296,0.00134589502018843,0,0.00672947510094213,0.00134589502018843,0,0,0.00269179004037685,0.00942126514131898,0.00403768506056528,0,0,0.00269179004037685,0,0,0.0524899057873486,0.0161507402422611,0.0134589502018843,0.0121130551816958,0,0,0,0.0511440107671602,0.0134589502018843,0.00807537012113055,0.00269179004037685,0,0,0,0,0
